snapped_at,price,market_cap,total_volume
2024-04-30 00:00:00 UTC,127.21968861357605,0.0,6298661.557913843
2024-05-01 00:00:00 UTC,127.21968861357605,0.0,6298661.557913843
2024-05-02 00:00:00 UTC,134.44319362469173,0.0,3886069.8929297887
2024-05-03 00:00:00 UTC,139.466690926073,0.0,2697158.9136013407
2024-05-04 00:00:00 UTC,144.62892193877622,0.0,2215132.06349001
2024-05-05 00:00:00 UTC,147.28324102157157,0.0,571564.7793924112
2024-05-06 00:00:00 UTC,146.4415660228412,0.0,2551493.862091155
2024-05-07 00:00:00 UTC,153.82860300020562,0.0,6201420.146075089
2024-05-08 00:00:00 UTC,149.6403841039665,0.0,4277868.742035889
2024-05-09 00:00:00 UTC,142.37763743232892,0.0,4401148.785687623
2024-05-10 00:00:00 UTC,152.8086211317312,0.0,2570119.585298201
2024-05-11 00:00:00 UTC,146.7847781647092,0.0,3962011.3655367005
2024-05-12 00:00:00 UTC,146.72861696121248,0.0,1360839.624777585
2024-05-13 00:00:00 UTC,144.52605175716448,0.0,4259203.192402425
2024-05-14 00:00:00 UTC,148.16306831997625,0.0,3990147.46830395
2024-05-15 00:00:00 UTC,143.9017299410028,0.0,1673471.5698709334
2024-05-16 00:00:00 UTC,157.49334494470392,0.0,2196509.708795731
2024-05-17 00:00:00 UTC,159.8265333652247,0.0,3889768.0968828253
2024-05-18 00:00:00 UTC,170.63287191391413,0.0,5782477.037982665
2024-05-19 00:00:00 UTC,173.72902353846206,0.0,4709274.958294161
2024-05-20 00:00:00 UTC,172.80765997015354,0.0,4911600.112848582
2024-05-21 00:00:00 UTC,187.25876594427177,0.0,7584744.381361951
2024-05-22 00:00:00 UTC,179.29313528170553,0.0,9703686.22365834
2024-05-23 00:00:00 UTC,178.61459075766652,0.0,6185569.267297942
2024-05-24 00:00:00 UTC,177.35974751181993,0.0,12297828.94299692
2024-05-25 00:00:00 UTC,169.08920459878027,0.0,9189319.89623951
2024-05-26 00:00:00 UTC,169.72466274469346,0.0,4678459.003843435
